device-group,product,topic,time,frac-reviews,avg-rating
Voice Assistants,Homepod,privacy,1,0.0,1
Voice Assistants,Homepod,privacy,2,0.0,1
Voice Assistants,Homepod,privacy,3,0.0,1
Voice Assistants,Homepod,privacy,4,0.0,1
Voice Assistants,Homepod,privacy,5,0.0,1
Voice Assistants,Homepod,privacy,6,0.0,1
Voice Assistants,Homepod,privacy,7,0.0,1
Voice Assistants,Homepod,privacy,8,0.0,1
Voice Assistants,Homepod,privacy,9,0.0,1
Voice Assistants,Homepod,privacy,10,0.0,1
Voice Assistants,Homepod,privacy,11,0.0,1
Voice Assistants,Homepod,privacy,12,0.0,1
Voice Assistants,Homepod,privacy,13,0.0,1
Voice Assistants,Homepod,privacy,14,0.0002460024600246002,5.0
Voice Assistants,Homepod,privacy,15,0.0,1
Voice Assistants,Homepod,privacy,16,0.0,1
Voice Assistants,Homepod,privacy,17,0.0,1
Voice Assistants,Homepod,privacy,18,0.002952029520295203,4.583333333333333
Voice Assistants,Homepod,privacy,19,0.0002460024600246002,5.0
Voice Assistants,Homepod,privacy,20,0.0012300123001230013,3.4
Voice Assistants,Homepod,privacy,21,0.0034440344403444036,4.642857142857143
Voice Assistants,Homepod,privacy,22,0.0009840098400984009,4.25
Voice Assistants,Homepod,privacy,23,0.0,1
Voice Assistants,Homepod,privacy,24,0.0,1
Voice Assistants,EchoFlex,all reviews,0,0.0,1
Voice Assistants,EchoFlex,all reviews,1,0.0,1
Voice Assistants,EchoFlex,all reviews,2,0.0,1
Voice Assistants,EchoFlex,all reviews,3,0.0,1
Voice Assistants,EchoFlex,all reviews,4,0.0,1
Voice Assistants,EchoFlex,all reviews,5,0.0,1
Voice Assistants,EchoFlex,all reviews,6,0.00041597337770382697,5.0
Voice Assistants,EchoFlex,all reviews,7,0.0,1
Voice Assistants,EchoFlex,all reviews,8,0.0,1
Voice Assistants,EchoFlex,all reviews,9,0.0,1
Voice Assistants,EchoFlex,all reviews,10,0.003951747088186356,4.368421052631579
Voice Assistants,EchoFlex,all reviews,11,0.0,1
Voice Assistants,EchoFlex,all reviews,12,0.0,1
Voice Assistants,EchoFlex,all reviews,13,0.0,1
Voice Assistants,EchoFlex,all reviews,14,0.005615640599001664,4.518518518518518
Voice Assistants,EchoFlex,all reviews,15,0.0,1
Voice Assistants,EchoFlex,all reviews,16,0.0,1
Voice Assistants,EchoFlex,all reviews,17,0.0,1
Voice Assistants,EchoFlex,all reviews,18,0.03473377703826955,4.029940119760479
Voice Assistants,EchoFlex,all reviews,19,0.11460066555740432,4.09437386569873
Voice Assistants,EchoFlex,all reviews,20,0.27891014975041595,4.257270693512305
Voice Assistants,EchoFlex,all reviews,21,0.13248752079866888,4.167974882260596
Voice Assistants,EchoFlex,all reviews,22,0.4292845257903494,4.237887596899225
Voice Assistants,EchoFlex,all reviews,23,0.0,1
Voice Assistants,EchoFlex,all reviews,24,0.0,1
Voice Assistants,EchoFlex,PS,0,0.0,1
Voice Assistants,EchoFlex,PS,1,0.0,1
Voice Assistants,EchoFlex,PS,2,0.0,1
Voice Assistants,EchoFlex,PS,3,0.0,1
Voice Assistants,EchoFlex,PS,4,0.0,1
Voice Assistants,EchoFlex,PS,5,0.0,1
Voice Assistants,EchoFlex,PS,6,0.0,1
Voice Assistants,EchoFlex,PS,7,0.0,1
Voice Assistants,EchoFlex,PS,8,0.0,1
Voice Assistants,EchoFlex,PS,9,0.0,1
Voice Assistants,EchoFlex,PS,10,0.00041597337770382697,4.5
Voice Assistants,EchoFlex,PS,11,0.0,1
